,id,count,model,trade_count,winning_ratio,mean_gain,mean_loss,payoff_ratio,sum_gain,sum_loss,profit_factor,
0,005930,20,lg,25,0.64,1150,1255.555556,0.915929204,18400,11300,1.628318584,1.704761905
1,005930,20,dt,31,0.483870968,973.3333333,1793.75,0.542624855,14600,28700,0.508710801,
2,005930,20,rf,38,0.552631579,1276.190476,1205.882353,1.058304297,26800,20500,1.307317073,
3,005930,20,xg,37,0.378378378,1228.571429,942.8571429,1.303030303,17200,19800,0.868686869,
0,005930,50,lg,10,0.2,2850,2225,1.280898876,5700,17800,0.320224719,
1,005930,50,dt,31,0.451612903,1100,1882.352941,0.584375,15400,32000,0.48125,
2,005930,50,rf,39,0.538461538,933.3333333,1411.111111,0.661417323,19600,25400,0.771653543,
3,005930,50,xg,9,0.333333333,1366.666667,2250,0.607407407,4100,13500,0.303703704,
0,005930,100,lg,28,0.5,1885.714286,1214.285714,1.552941176,26400,17000,1.552941176,
1,005930,100,dt,36,0.583333333,1438.095238,1440,0.998677249,30200,21600,1.398148148,
2,005930,100,rf,38,0.447368421,1452.941176,1447.619048,1.003676471,24700,30400,0.8125,
3,005930,100,xg,25,0.44,1609.090909,2284.615385,0.704315886,17700,29700,0.595959596,
0,005930,150,lg,24,0.5,1491.666667,954.5454545,1.562698413,17900,10500,1.704761905,
1,005930,150,dt,15,0.466666667,1842.857143,1500,1.228571429,12900,10500,1.228571429,
2,005930,150,rf,34,0.558823529,1552.631579,1720,0.902692778,29500,25800,1.143410853,
3,005930,150,xg,39,0.564102564,1381.818182,1687.5,0.818855219,30400,27000,1.125925926,
0,005930,200,lg,23,0.47826087,1427.272727,1316.666667,1.084004603,15700,15800,0.993670886,
1,005930,200,dt,26,0.269230769,1585.714286,1605.555556,0.987642116,11100,28900,0.384083045,
2,005930,200,rf,24,0.541666667,2192.307692,2200,0.996503497,28500,22000,1.295454545,
3,005930,200,xg,37,0.351351351,1030.769231,1145.833333,0.89958042,13400,27500,0.487272727,
0,005930,250,lg,24,0.458333333,1281.818182,1292.307692,0.991883117,14100,16800,0.839285714,
1,005930,250,dt,19,0.421052632,2087.5,1500,1.391666667,16700,16500,1.012121212,
2,005930,250,rf,37,0.486486486,1527.777778,2058.823529,0.742063492,27500,35000,0.785714286,
3,005930,250,xg,27,0.481481481,623.0769231,1592.857143,0.391169369,8100,22300,0.3632287,
0,000660,20,lg,26,0.384615385,1620,1792.307692,0.903862661,16200,23300,0.69527897,3.901639344
1,000660,20,dt,46,0.413043478,978.9473684,973.0769231,1.006032869,18600,25300,0.735177866,
2,000660,20,rf,32,0.46875,1440,1582.352941,0.910037175,21600,26900,0.802973978,
3,000660,20,xg,31,0.35483871,1009.090909,1305.882353,0.772727273,11100,22200,0.5,
0,000660,50,lg,11,0.272727273,1100,900,1.222222222,3300,6300,0.523809524,
1,000660,50,dt,23,0.565217391,1830.769231,762.5,2.401008827,23800,6100,3.901639344,
2,000660,50,rf,45,0.577777778,1007.692308,1605.555556,0.627628427,26200,28900,0.906574394,
3,000660,50,xg,28,0.428571429,1000,793.75,1.25984252,12000,12700,0.94488189,
0,000660,100,lg,25,0.44,1890.909091,1315.384615,1.437533227,20800,17100,1.216374269,
1,000660,100,dt,37,0.486486486,1500,1553.333333,0.965665236,27000,23300,1.158798283,
2,000660,100,rf,34,0.470588235,1700,1700,1,27200,27200,1,
3,000660,100,xg,29,0.448275862,1307.692308,1757.142857,0.744215134,17000,24600,0.691056911,
0,000660,150,lg,20,0.5,2320,1590,1.459119497,23200,15900,1.459119497,
1,000660,150,dt,44,0.386363636,1182.352941,1016,1.16373321,20100,25400,0.791338583,
2,000660,150,rf,33,0.515151515,1317.647059,1662.5,0.792569659,22400,26600,0.842105263,
3,000660,150,xg,28,0.428571429,1941.666667,2193.333333,0.885258359,23300,32900,0.708206687,
0,000660,200,lg,20,0.5,2320,1590,1.459119497,23200,15900,1.459119497,
1,000660,200,dt,23,0.391304348,2111.111111,1823.076923,1.157993436,19000,23700,0.801687764,
2,000660,200,rf,31,0.516129032,1068.75,1850,0.577702703,17100,25900,0.66023166,
3,000660,200,xg,35,0.485714286,1211.764706,1950,0.621417798,20600,31200,0.66025641,
0,000660,250,lg,24,0.5,2033.333333,1491.666667,1.363128492,24400,17900,1.363128492,
