,id,trade_count,winning_ratio,mean_gain,mean_loss,payoff_ratio,sum_gain,sum_loss,profit_factor
0,005930,56,0.357142857,1530,761.7647059,2.008494208,30600,25900,1.181467181
0,000660,68,0.397058824,1474.074074,844.7368421,1.745009807,39800,32100,1.239875389
0,207940,63,0.396825397,1412,963.8888889,1.464899135,35300,34700,1.017291066
0,051910,64,0.4375,1053.571429,1083.333333,0.972527473,29500,39000,0.756410256
0,006400,65,0.384615385,1316,930,1.415053763,32900,37200,0.884408602
0,035420,65,0.492307692,828.125,954.5454545,0.867559524,26500,31500,0.841269841
0,005380,61,0.426229508,1484.615385,893.75,1.661108123,38600,28600,1.34965035
0,035720,59,0.440677966,1280.769231,993.9393939,1.288578799,33300,32800,1.015243902
0,000270,58,0.362068966,1838.095238,992.1052632,1.852721991,38600,37700,1.023872679
0,068270,60,0.416666667,1352,1122.580645,1.204367816,33800,34800,0.971264368
0,028260,59,0.423728814,1136,1003.125,1.132461059,28400,32100,0.884735202
0,005490,61,0.442622951,1366.666667,891.1764706,1.533553355,36900,30300,1.217821782
0,105560,61,0.459016393,1378.571429,1116.666667,1.234541578,38600,33500,1.152238806
0,012330,59,0.406779661,1516.666667,893.9393939,1.696610169,36400,29500,1.233898305
0,096770,62,0.435483871,1355.555556,1015.151515,1.335323383,36600,33500,1.092537313
0,055550,63,0.396825397,1212,1000,1.212,30300,34000,0.891176471
0,034730,52,0.403846154,1466.666667,975.862069,1.502944641,30800,28300,1.088339223
0,066570,67,0.373134328,1092,761.5384615,1.433939394,27300,29700,0.919191919
0,015760,65,0.4,811.5384615,900,0.901709402,21100,30600,0.689542484
0,034020,66,0.424242424,828.5714286,974.2857143,0.850439883,23200,34100,0.680351906
0,003550,58,0.396551724,1460.869565,1066.666667,1.369565217,33600,35200,0.954545455
0,003670,67,0.417910448,1221.428571,1045.714286,1.168032787,34200,36600,0.93442623
0,032830,65,0.492307692,1059.375,1003.125,1.056074766,33900,32100,1.056074766
0,011200,65,0.4,1126.923077,1051.351351,1.071880562,29300,38900,0.753213368
0,086790,63,0.46031746,1131.034483,861.7647059,1.312463222,32800,29300,1.119453925
0,017670,57,0.385964912,1540.909091,1023.529412,1.505485893,33900,34800,0.974137931
0,051900,58,0.379310345,1436.363636,897.0588235,1.60119225,31600,30500,1.036065574
0,010130,59,0.474576271,1132.142857,1003.571429,1.128113879,31700,28100,1.128113879
0,033780,56,0.410714286,978.2608696,1018.75,0.960256068,22500,32600,0.690184049
